Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_km,Price_lakh
996,5,2,29,12.1,162.8
2503,4,3,4,13.3,427.8
2240,3,2,15,2.6,365.6
1765,5,2,21,8.9,318.8
1753,3,3,15,1.8,334.0
2689,3,2,13,10.4,381.4
989,5,1,5,7.3,259.1
2334,3,3,11,3.7,414.4
1243,2,2,7,3.0,279.4
1007,3,2,9,12.2,198.2
1958,5,2,21,4.2,310.2
2947,2,2,19,18.6,321.4
2419,3,1,18,12.0,341.3
2475,2,2,11,7.6,398.6
2379,4,3,29,12.2,328.6
2530,3,1,2,1.4,412.3
1929,3,2,10,19.2,302.9
1081,2,1,3,10.2,167.3
2648,4,2,10,15.9,373.3
1791,4,2,29,2.6,287.9
1901,5,3,11,10.2,355.9
1616,3,1,28,10.3,183.6
1201,2,1,15,18.8,124.2
2839,5,2,21,11.9,416.3
2520,4,3,14,10.0,438.5
2217,4,3,8,6.1,412.5
1685,2,1,23,7.3,216.4
2610,3,1,30,10.9,252.6
2000,5,3,8,9.3,388.8
1775,5,1,24,1.4,271.5
1791,3,3,8,16.7,274.7
1300,5,1,22,18.0,154.4
1002,5,3,24,3.7,229.8
2020,3,1,13,11.5,298.2
2754,5,2,22,3.1,404.6
940,3,2,8,13.8,184.2
2689,2,1,2,6.3,391.8
2621,4,2,2,13.5,419.0
1409,4,2,13,14.8,256.4
2190,2,3,27,15.6,277.7
1163,5,3,3,3.0,358.8
2468,2,2,14,18.4,306.5
2341,5,2,21,5.4,361.9
1580,2,2,6,1.7,293.3
949,5,2,22,11.5,185.7
2936,5,3,9,8.0,507.4
1780,5,1,25,16.8,202.2
2765,4,1,17,16.4,355.5
2292,3,2,16,7.0,349.6
2513,4,1,5,19.1,405.0
2472,3,1,14,6.5,388.2
1228,5,1,26,10.8,161.1
1600,4,3,0,5.9,359.7
1827,3,3,23,18.8,213.3
1895,4,3,15,4.1,343.7
896,4,2,22,1.9,201.2
2002,2,3,20,9.3,318.2
1139,2,1,13,19.9,108.0
2436,2,3,9,17.9,337.1
2303,2,2,19,15.2,242.1
